"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"39","Bowron",2012,126,2010,"SR_resid",-0.286848213813555,1,1,1,499.6631893,0,"c_b_cys"
"40","Chilko",2011,190,2009,"SR_resid",0.38529783723828,29,29,1,15104.2267308259,NA,"c_b_cys"
"41","Chilko",2012,191,2010,"SR_resid",1.51870929766449,92,89,0.967391304347826,1723.0023806377,0,"c_b_cys"
"42","Chilko",2013,192,2011,"SR_resid",0.19771074921524,197,195,0.989847715736041,17976.1359398825,0,"c_b_cys"
"43","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,30,30,1,6133.93712026,NA,"c_b_cys"
"44","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,23,22,0.956521739130435,1785.78259836277,0,"c_b_cys"
"45","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,6,4,0.666666666666667,49.3291735975,NA,"c_b_cys"
"46","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,1,1,1,8.797510275,0,"c_b_cys"
"47","Gates",2012,354,2010,"SR_resid",-0.740304861860851,11,8,0.727272727272727,169.882787358,0,"c_b_cys"
"48","Gates",2013,355,2011,"SR_resid",-0.231147951215527,40,30,0.75,1702.99081165597,0,"c_b_cys"
"49","Gates",2015,357,2013,"SR_resid",0.382737877444286,24,15,0.625,513.048225819533,0,"c_b_cys"
"51","L.Shuswap",2011,483,2009,"SR_resid",0.158944996920779,17,17,1,4000.31749053824,NA,"c_b_cys"
"52","L.Shuswap",2012,484,2010,"SR_resid",0.33121463228102,159,152,0.955974842767296,4891.54678593068,0,"c_b_cys"
"53","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,25,25,1,4993.2563128302,0,"c_b_cys"
"54","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,13,13,1,3857.65951456585,0,"c_b_cys"
"55","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,6,5,0.833333333333333,557.5438313278,NA,"c_b_cys"
"56","L.Stuart",2012,549,2010,"SR_resid",-0.366224861966881,1,0,0,NA,NA,"c_b_cys"
"57","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,27,24,0.888888888888889,1195.8936127625,0,"c_b_cys"
"58","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,1,1,1,5293.250869,0,"c_b_cys"
"59","Pitt",2013,657,2011,"SR_resid",0.508782527675962,30,9,0.3,3.20752436188889,0,"c_b_cys"
"60","Portage",2012,717,2010,"SR_resid",0.860076407844352,5,5,1,1376.219754307,0,"c_b_cys"
"61","Portage",2013,718,2011,"SR_resid",-3.46516416664105,30,15,0.5,500.522250501133,0,"c_b_cys"
"62","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,25,20,0.8,1751.36357895175,0,"c_b_cys"
"63","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,95,75,0.789473684210526,1468.97754899793,0,"c_b_cys"
"64","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,44,31,0.704545454545455,2580.98596283971,0,"c_b_cys"
"65","Raft",2012,847,2010,"SR_resid",0.854522107492757,1,1,1,5380.25969,0,"c_b_cys"
"66","Raft",2013,848,2011,"SR_resid",-0.415526678167453,16,16,1,1787.95769272225,0,"c_b_cys"
"67","Raft",2015,850,2013,"SR_resid",-2.41772796249681,29,19,0.655172413793103,5036.59481286432,0,"c_b_cys"
"68","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,22,22,1,3468.58379927182,0,"c_b_cys"
"69","Seymour",2011,960,2009,"SR_resid",0.469168333433819,1,1,1,6806.308292,NA,"c_b_cys"
"70","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,19,19,1,4480.08792915579,0,"c_b_cys"
"71","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,2,2,1,58.9842545195,NA,"c_b_cys"
"72","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,6,6,1,2287.84369775267,0,"c_b_cys"
"73","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,47,44,0.936170212765957,1189.13517558452,0,"c_b_cys"
"74","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,17,17,1,5790.04053069759,0,"c_b_cys"
"75","Weaver",2012,1075,2010,"SR_resid",-0.63038571679581,1,1,1,5731.289993,0,"c_b_cys"
"76","Weaver",2015,1078,2013,"SR_resid",-0.520865185760699,22,12,0.545454545454545,208.451667641167,0,"c_b_cys"
"77","Bowron",2012,126,2010,"SR_resid",-0.286848213813555,1,0,0,NA,NA,"ce_sha"
"78","Chilko",2011,190,2009,"SR_resid",0.38529783723828,29,1,0.0344827586206897,0.032965598,0.00113674475862069,"ce_sha"
"79","Chilko",2012,191,2010,"SR_resid",1.51870929766449,92,2,0.0217391304347826,4.512205489,0.098091423673913,"ce_sha"
"80","Chilko",2013,192,2011,"SR_resid",0.19771074921524,197,2,0.0101522842639594,9.1143140285,0.0925311068883249,"ce_sha"
"81","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,30,0,0,NA,NA,"ce_sha"
"82","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,23,0,0,NA,NA,"ce_sha"
